Name,Type,Lat,Long,Pop,City,State,Country,ZIP,URL,URL_muni,Stimulus,Gig,PPP,Open Access,Cooperative Type,10 Gig
SMBS - Lakefield,fiber,43.677,-95.172,"1,600",Lakefield,MN,US,56150,http://www.lakefieldmn.com,http://www.muninetworks.org/taxonomy/term/765,Y,Y,,,,
SMBS - Okabena,fiber,43.7418,-95.3152,200,Okabena,MN,US,,http://mysmbs.com/about.html,http://www.muninetworks.org/taxonomy/term/765,Y,Y,,,,
SMBS - Round Lake,fiber,43.541,-95.4688,376,Round Lake,MN,US,,http://mysmbs.com/about.html,http://www.muninetworks.org/taxonomy/term/765,Y,Y,,,,
SMBS - Wilder,fiber,43.8271,-95.2001,60,Wilder,MN,US,,http://mysmbs.com/about.html,http://www.muninetworks.org/taxonomy/term/765,Y,Y,,,,
SandyNet,fiber,45.3996,-122.267,"10,000",Sandy,OR,US,97055,http://www.sandynetfiber.com/,,N,Y,,,,
Sebewaing Light & Water,fiber,43.7322,-83.451,"1,700",Sebewaing,MI,US,48750,http://www.slandw.com/,http://muninetworks.org/tags/tags/sebewaing,N,Y,,,,
Spencer Municipal Utilities,fiber,43.146,-95.1511,"11,000",Spencer,IA,US,51301,http://www.smunet.net/,http://www.muninetworks.org/tags-79,N,Y,,,,
Swiftel,fiber,44.311,-96.798,20184,Brookings,SD,US,57006,http://swiftel.net/,,,Y,,,,
Town of Islesboro Fiber Network,fiber,44.294,-68.909,550,Islesboro,ME,US,04848,http://townofislesboro.com/committees/broadband/,https://muninetworks.org/tags/tags/islesboro-me,,Y,,,,
Town of Mount Washington Fiber Network,fiber,42.085,-73.452,146,Mt. Washington,MA,US,01258,,https://muninetworks.org/tags/tags/mt-washington,,Y,,,,
Tullahoma Utilities Board,fiber,35.37123,-86.21553,18434,Tullahoma,TN,US,37388,http://www.tub.net,http://www.muninetworks.org/tags-109,,Y,,,,
Utah Telecommunications Open Infrastructure Agency (UTOPIA),fiber,41.509,-112.010,"19,000",UTOPIA - Brigham City,UT,US,84302,http://www.utopianet.org/,http://www.muninetworks.org/tags-15,,Y,,Y,,
Utah Telecommunications Open Infrastructure Agency (UTOPIA),fiber,40.341,-111.717,"9,000",UTOPIA - Lindon,UT,US,84003,http://www.utopianet.org/,http://www.muninetworks.org/tags-15,,Y,,Y,,
Utah Telecommunications Open Infrastructure Agency (UTOPIA),fiber,41.715,-112.178,"6,000",UTOPIA - Tremonton,UT,US,84312,http://www.utopianet.org/,http://www.muninetworks.org/tags-15,,Y,,Y,,
Utah Telecommunications Open Infrastructure Agency (UTOPIA),fiber,41.462,-112.0367,"4,500",UTOPIA - Perry,UT,US,84302,http://www.utopianet.org/,http://www.muninetworks.org/tags-15,,Y,,Y,,
Utah Telecommunications Open Infrastructure Agency (UTOPIA) HQ,fiber,40.927,-111.88,"15,000",UTOPIA - Centerville,UT,US,84014,http://www.utopianet.org/,http://www.muninetworks.org/tags-15,Y,Y,,Y,,
Vernon Light & Power,fiber,34.003,-118.230,112,Vernon,CA,US,90058,http://www.cityofvernon.org/business/201-powering-business-competitiveness,http://muninetworks.org/tags/tags/vernon-ca,,,,,,
Windomnet,fiber,43.869,-95.118,"4,100",Windom,MN,US,56101,http://www.windomnet.com/,http://www.muninetworks.org/tags-122,,Y,,,,
liNKCity,fiber,39.129,-94.562,"6,000",North Kansas City,MO,US,64116,http://www.linkcity.org/,,,Y,,,,
